rank,tag_id,tag_name,tag_type,mention_count,stock_count,stocks,snapshot_date
1,robot,機器人,theme,99,5,上銀(2049)、所羅門(2359)、鈞興-KY(4571)、達明(4585)、邑錡(7402),2026-07-04
2,passive_component,被動元件,industry,84,20,國巨*(2327)、凱美(2375)、興勤(2428)、冠西電(2466)、大毅(2478)、希華(2484)、華新科(2492)、禾伸堂(3026)、璟德(3152)、昇達科(3491)、安碁(6174)、聚鼎(6224)、佳邦(6284)、今展科(6432)、富致(6642)、穩得(6761)、松川精密(7788)、金山電(8042)、越峰(8121)、加高(8182),2026-07-04
3,substrate,載板,industry,61,5,華通(2313)、欣興(3037)、景碩(3189)、臻鼎-KY(4958)、南電(8046),2026-07-04
4,pcb,PCB,industry,48,53,南亞(1303)、第一銅(2009)、華通(2313)、楠梓電(2316)、廣宇(2328)、敬鵬(2355)、燿華(2367)、金像電(2368)、毅嘉(2402)、環科(2413)、聯昌(2431)、志聖(2467)、華立(3010)、德律(3030)、欣興(3037)、健鼎(3044)、立德(3058)、港建*(3093)、好德(3114)、同泰(3321)、旭軟(3390)、陽程(3498)、映興(3597)、勝昱(4304)、達航科技(4577)、泰鼎-KY(4927)、臻鼎-KY(4958)、邑昇(5291)、建榮(5340)、佳總(5355)、光譜(5381)、高技(5439)、霖宏(5464)、德宏(5475)、凱崴(5498)、競國(6108)、柏承(6141)、嘉聯益(6153)、松上(6156)、精成科(6191)、育富(6194)、慶生(6210)、台郡(6269)、迅得(6438)、立誠(6597)、瀧澤科(6609)、騰輝電子-KY(6672)、圓裕(6835)、榮惠-KY創(6924)、鉅橡(8074)、傑霖科技(8102)、志超(8213)、尚茂(8291),2026-07-04
5,military,軍工,theme,46,2,事欣科(4916)、邑錡(7402),2026-07-04
6,cpo,CPO,theme,43,2,訊芯-KY(6451)、愛普*(6531),2026-07-04
7,dram,DRAM,industry,42,8,華邦電(2344)、南亞科(2408)、晶豪科(3006)、威剛(3260)、欣銓(3264)、十銓(4967)、力成(6239)、力積電(6770),2026-07-04
8,server_odm,伺服器ODM,industry,42,63,濱川(1569)、川湖(2059)、光寶科(2301)、台達電(2308)、華通(2313)、鴻海(2317)、仁寶(2324)、精英(2331)、宏碁(2353)、英業達(2356)、華碩(2357)、藍天(2362)、倫飛(2364)、技嘉(2376)、微星(2377)、廣達(2382)、台光電(2383)、精元(2387)、友通(2397)、映泰(2399)、新巨(2420)、建準(2421)、可成(2474)、神基(3005)、晟銘電(3013)、全漢(3015)、奇鋐(3017)、偉訓(3032)、健鼎(3044)、大綜(3147)、耀勝(3207)、錦明(3230)、緯創(3231)、弘憶股(3312)、新日興(3376)、力致(3483)、華擎(3515)、凡甲(3526)、嘉澤(3533)、映興(3597)、健策(3653)、貿聯-KY(3665)、營邦(3693)、神達(3706)、致伸(4915)、新唐(4919)、和碩(4938)、信驊(5274)、青雲(5386)、高技(5439)、新普(6121)、撼訊(6150)、聯茂(6213)、尼得科超眾(6230)、旭隼(6409)、動力-KY(6591)、緯穎(6669)、鴻呈(6913)、AMAX-KY(6933)、永擎(7711)、廣積(8050)、勤誠(8210)、高力(8996),2026-07-04
9,panel,面板,industry,41,65,佳世達(2352)、鴻準(2354)、友達(2409)、銘旺科(2429)、翔耀(2438)、2443(2443)、志聖(2467)、一詮(2486)、瑞軒(2489)、吉祥全(2491)、華立(3010)、聯陽(3014)、聯詠(3034)、精金(3049)、力特(3051)、李洲(3066)、大量(3167)、眾福科(3168)、微端(3285)、融程電(3416)、榮創(3437)、群創(3481)、迎輝(3523)、先益(3531)、晶彩科(3535)、瑞鼎(3592)、洋華(3622)、富晶通(3623)、熒茂(4729)、三福化(4755)、友輝(4933)、茂林-KY(4935)、誠美材(4960)、晶達(4995)、萬達光電(5220)、智晶(5245)、協益(5356)、中光電(5371)、均豪(5443)、彩富(5489)、合邦(6103)、彩晶(6116)、達運(6120)、久正(6167)、瑞儀(6176)、豐藝(6189)、光鼎(6226)、旺玖(6233)、臺龍(6246)、易華電(6552)、勁豐(6577)、竹陞科技(6739)、采鈺(6789)、創為精密(6899)、華凌(6916)、奕力-KY(6962)、力領科技(6996)、晶采(8049)、元太(8069)、伍豐(8076)、福華(8085)、錸寶(8104)、凌巨(8105)、南茂(8150)、偉聯(9912),2026-07-04
10,telecom,電信,industry,40,30,中華電(2412)、仲琦(2419)、倚天酷碁-創(2432)、台灣大(3045)、建漢(3062)、東浦(3290)、遠傳(4904)、譜瑞-KY(4966)、正能量智能(5348)、友勁(6142)、百一(6152)、欣技(6160)、華電網(6163)、統振(6170)、大豐電(6184)、居易(6216)、晉泰(6221)、百徽(6259)、普萊德(6263)、台數科(6464)、宇智(6470)、互動(6486)、鋐寶科技(6674)、東聯互動(7738)、台通(8011)、達運光電(8045)、凱碩(8059)、康全電訊(8089)、保銳(8093)、華冠(8101),2026-07-04
